
$ /home/dblab/anaconda3/envs/mllm_ft/bin/python /home/dblab/hj/mllm_v2/scripts/33_eval_image_only_generalization.py --dataset textvqa --metric vqa --index /home/dblab/hj/mllm_v2/data/textvqa/index.json --run-dir /home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa --temp-root /home/dblab/hj/mllm_v2/runs/image_only_generalization/_temporary_visual_kv/textvqa --experiment-id 9992ea89-98de-4b37-ad23-f62f60e0327c --skip 1 --questions 1 --shard-index 0 --shard-size 1000 --expected-index-sha256 b1e5ff0eaba2a45c6398e7cb90631cdc7387eff25ed0997a66374f25968a2f4d --expected-workload-sha256 49fa0b15f406132162cba1b47245f28a560d28b4f3af76985c855d77a145a2a6 --expected-images 500 --expected-questions 500 --seed 1234 --max-new-tokens 16 --min-free-after-gib 64.0

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:02<00:04,  2.38s/it]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:04<00:02,  2.29s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.05s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.13s/it]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[1/500] a023b7e346df33c8: 4 rows published; store 1.33 GB
[378/500] 753b097c94a2fb4d: 4 rows published; store 1.28 GB
[379/500] 27c16e037819a596: 4 rows published; store 1.33 GB
[380/500] e237b1addcd000da: 4 rows published; store 1.33 GB
[381/500] fe1f2382d66996da: 4 rows published; store 1.33 GB
[382/500] e61803d4807e167d: 4 rows published; store 1.66 GB
[383/500] dd22182e290287b2: 4 rows published; store 1.05 GB
[384/500] 7b9ad69efc73985d: 4 rows published; store 1.23 GB
[385/500] 93455e24049a52b4: 4 rows published; store 1.33 GB
[386/500] cf97e9fe7921d3f6: 4 rows published; store 1.34 GB
[387/500] 4a9325c476ce43d8: 4 rows published; store 1.21 GB
[388/500] 09da9293dfe128d3: 4 rows published; store 1.34 GB
[389/500] 83c61580bf4907f8: 4 rows published; store 1.33 GB
[390/500] 74d135a5df49b04d: 4 rows published; store 1.60 GB
[391/500] 1f4b22bc496f9fcc: 4 rows published; store 1.21 GB
[392/500] 62dc129323c2e4e0: 4 rows published; store 1.13 GB
[393/500] 6d32463972dd252f: 4 rows published; store 1.27 GB
[394/500] 7b4f6c901fa31112: 4 rows published; store 1.18 GB
[395/500] c930e3ff0499dd84: 4 rows published; store 1.23 GB
[396/500] 7de5f19060c96f5c: 4 rows published; store 1.21 GB
[397/500] c2b41eda50d53424: 4 rows published; store 1.33 GB
[398/500] cfd10d78bfa84ce5: 4 rows published; store 1.33 GB
[399/500] 29ccc9eadaac2dea: 4 rows published; store 1.02 GB
[400/500] 77c1e5caeaa92896: 4 rows published; store 1.05 GB
[401/500] c6d9a9a9344e104e: 4 rows published; store 1.10 GB
[402/500] 1429effba967712d: 4 rows published; store 1.12 GB
[403/500] e9915e4011219b78: 4 rows published; store 1.28 GB
[404/500] 5290d675872b4206: 4 rows published; store 1.33 GB
[405/500] 841c14dae4a6ed0c: 4 rows published; store 1.21 GB
[406/500] 2a9b52b33ae6a8d8: 4 rows published; store 1.38 GB
[407/500] 939c8612c97e37cb: 4 rows published; store 1.33 GB
[408/500] 65ab37dd3812c200: 4 rows published; store 1.21 GB
[409/500] 02a961f6c1f9ed12: 4 rows published; store 1.33 GB
[410/500] acf3e290378d9ff6: 4 rows published; store 1.66 GB
[411/500] 13382af57189560d: 4 rows published; store 1.21 GB
[412/500] c3e1b0176ca3edb1: 4 rows published; store 1.18 GB
[413/500] cd75fd55f7a10830: 4 rows published; store 1.12 GB
[414/500] 9b1b29d9a6ba9716: 4 rows published; store 1.34 GB
[415/500] 0cdeebede5b0ae90: 4 rows published; store 1.39 GB
[416/500] 273a22536edd6601: 4 rows published; store 1.33 GB
[417/500] 6f081ffa6adc837a: 4 rows published; store 1.23 GB
[418/500] 31de82365306af7e: 4 rows published; store 1.21 GB
[419/500] 030aac31ce3ebe66: 4 rows published; store 1.23 GB
[420/500] 7734f0e9b1efe8e5: 4 rows published; store 1.21 GB
[421/500] 0632337aeecc9696: 4 rows published; store 1.21 GB
[422/500] 589a8e65a0a98b94: 4 rows published; store 1.33 GB
[423/500] 09a49bc5cf58b847: 4 rows published; store 1.33 GB
[424/500] d0f08887f2254621: 4 rows published; store 1.33 GB
[425/500] ea43052275fb10ff: 4 rows published; store 1.33 GB
[426/500] cbf63fa904a81837: 4 rows published; store 1.16 GB
[427/500] 7e307008ba350ccf: 4 rows published; store 1.33 GB
[428/500] 50be703594e44150: 4 rows published; store 1.21 GB
[429/500] 5fc62d577339fc52: 4 rows published; store 1.45 GB
[430/500] 01824d2e57c99aad: 4 rows published; store 1.33 GB
[431/500] 8b885fdb609fda16: 4 rows published; store 1.21 GB
[432/500] 0927336eea258d3e: 4 rows published; store 1.55 GB
[433/500] 9449b42424129d49: 4 rows published; store 1.21 GB
[434/500] e920a8a8522e9404: 4 rows published; store 1.66 GB
[435/500] 2189b9d38ff97982: 4 rows published; store 1.34 GB
[436/500] bde8c688ab2415da: 4 rows published; store 1.28 GB
[437/500] 03486477f41d883f: 4 rows published; store 1.21 GB
[438/500] 9bf5082c0219d773: 4 rows published; store 1.33 GB
[439/500] 09a4873f981043ac: 4 rows published; store 1.34 GB
[440/500] 5f396ad4f4a0fba3: 4 rows published; store 1.21 GB
[441/500] 052bf94d71a91cab: 4 rows published; store 1.21 GB
[442/500] d3bbfbd2ca8e68d0: 4 rows published; store 1.33 GB
[443/500] 04ab31205c0ffdf8: 4 rows published; store 1.66 GB
[444/500] c8ea6575a851bb9b: 4 rows published; store 1.34 GB
[445/500] 0e2c30fdb640800e: 4 rows published; store 1.21 GB
[446/500] 26cc94e8d52eef78: 4 rows published; store 1.33 GB
[447/500] c075ae5c3bd06d9f: 4 rows published; store 1.21 GB
[448/500] 02a950e4790377dc: 4 rows published; store 1.21 GB
[449/500] c21494cdb7d4876c: 4 rows published; store 1.18 GB
[450/500] 9da5aba162e27a01: 4 rows published; store 1.23 GB
[451/500] f14a5333b682f3da: 4 rows published; store 1.33 GB
[452/500] 7f4fdaca6ad86560: 4 rows published; store 1.34 GB
[453/500] 86293dad3b4edab2: 4 rows published; store 1.23 GB
[454/500] 4679f229bf50b7cd: 4 rows published; store 1.33 GB
[455/500] 1633f9f22f7b2d31: 4 rows published; store 1.21 GB
[456/500] e8d4b34171630d37: 4 rows published; store 1.66 GB
[457/500] d1b1285e7c9170fc: 4 rows published; store 0.99 GB
[458/500] 0184cbf22246869d: 4 rows published; store 1.34 GB
[459/500] 95fdfa4c9e58a1da: 4 rows published; store 1.34 GB
[460/500] 2d9c06dbfac74cc5: 4 rows published; store 1.21 GB
[461/500] 174c9770bc42ddc6: 4 rows published; store 1.33 GB
[462/500] 57e909123d97d212: 4 rows published; store 1.16 GB
[463/500] ecb64a19c7398c8e: 4 rows published; store 1.21 GB
[464/500] 44c0ab731912e8e4: 4 rows published; store 1.50 GB
[465/500] b8fd6df5863754d9: 4 rows published; store 1.28 GB
[466/500] c99aaef9025b20aa: 4 rows published; store 1.33 GB
[467/500] 07ec166bed0945e0: 4 rows published; store 1.33 GB
[468/500] 803e0332090b144f: 4 rows published; store 1.33 GB
[469/500] a20e5f23d0557a47: 4 rows published; store 1.10 GB
[470/500] a604dd6cf38a4a12: 4 rows published; store 1.33 GB
[471/500] f49e3c24b7b79ab2: 4 rows published; store 1.21 GB
[472/500] 52a816d2db8d86fd: 4 rows published; store 1.33 GB
[473/500] 357f4bbdbf0dafa9: 4 rows published; store 1.27 GB
[474/500] 4ca9d2d3d49c9e95: 4 rows published; store 1.21 GB
[475/500] 48271db95ff3670c: 4 rows published; store 1.66 GB
[476/500] adf07fa720dfe849: 4 rows published; store 1.33 GB
[477/500] dc739a78b6c50d20: 4 rows published; store 1.21 GB
[478/500] 1d3b2856f6220ba1: 4 rows published; store 1.34 GB
[479/500] 8cf5bb178a625922: 4 rows published; store 1.21 GB
[480/500] 5ce61cf553ba6c5c: 4 rows published; store 1.23 GB
[481/500] 2c67459de1e68b17: 4 rows published; store 1.66 GB
[482/500] dab80ee6e59bafab: 4 rows published; store 1.21 GB
[483/500] d5c8c24cf6729da4: 4 rows published; store 1.21 GB
[484/500] a50ceaeef959e452: 4 rows published; store 1.21 GB
[485/500] 012c101e4543382e: 4 rows published; store 1.33 GB
[486/500] 253ce117b74b1684: 4 rows published; store 1.33 GB
[487/500] 0d48401e5648b1e9: 4 rows published; store 1.33 GB
[488/500] 2beaf9db720c828e: 4 rows published; store 1.66 GB
[489/500] 5a38b3e0293c5ab8: 4 rows published; store 1.61 GB
[490/500] 5918ab1cdea54f23: 4 rows published; store 1.21 GB
[491/500] ee5193a6f58478a8: 4 rows published; store 1.16 GB
[492/500] 0559c42c72ec4ffa: 4 rows published; store 1.33 GB
[493/500] 24534957f36e5a1c: 4 rows published; store 1.49 GB
[494/500] b058a294238c5e08: 4 rows published; store 1.21 GB
[495/500] 24b7d173b48481f8: 4 rows published; store 1.13 GB
[496/500] 15e5f140920f0826: 4 rows published; store 1.16 GB
[497/500] 0be9be6930537bf8: 4 rows published; store 1.33 GB
[498/500] 4fab1e1f60726a68: 4 rows published; store 1.21 GB
[499/500] 6955c0bc758d7e45: 4 rows published; store 1.33 GB
[500/500] 3f320652403faca3: 4 rows published; store 1.10 GB
completed shard 0: 500 images
